Mobili - Vendita al Dettaglio;Mega Srls;Via Udine XX,;34072;GRADISCA D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9613XX;45.88XXX 13.48XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mercatone Uno;Via Cesare Augusto Colombo XX,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4135XX;45.80XXX 13.56XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mercatone Uno;Viale Trento XX, Cornadella;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-713XX;45.9XXX 12.47XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Michelini Paolo;Via Pontebbana XX,;33017;TARCENTO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7831XX;46.19XXX 13.19XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Midj S.p.a.;Via Madonna di Campagna X,;33075;CORDOVADO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6901XX;45.86XXX 12.88XXX;info@federweb.com;
Arredamenti - Produzione, Ingrosso        Arredamenti - Vendita al Dettaglio;Miko;Via Maniago, XX/A,;33080;SAN QUIRINO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-912XX;46.02XXX 12.65XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Milani 6 di Polesello Ketty;Via Maniago XX,;33080;SAN QUIRINO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9191XX;46.02XXX 12.65XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Miorin Arredamenti s.r.l;Viale Venezia XX,;33072;CASARSA DELLA DELIZIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-863XX;45.95XXX 12.83XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobil - e';Via Ronchi XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-212XX;46.06XXX 13.2XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobil Factory Outlet;Via Pontebbana XX,;33031;BASILIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8304XX;46.00XXX 13.1XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobil Furio Arredamenti;Via Valdirivo, XX,;34132;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-24109XX;45.65XXX 13.77XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilmarket;Via Orlandini Giovanni XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-34986XX;45.6XXX 13.78XXX;info@federweb.com;
Arredamenti - Produzione, Ingrosso        Arredamenti - Vendita al Dettaglio;Mobil Nord Mobilificio;Via Divisione Julia, XX,;33040;FAEDIS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7282XX;46.15XXX 13.34XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobil Service Srl;Via Economo Giovanni e Demetrio X/A,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3070XX;45.6XXX 13.75XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobil Troiani Srl;Via Spilimbergo XXX,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8105XX;46.09XXX 13.13XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobil-e di Protto Sabrina;Via Ronchi XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-212XX;46.06XXX 13.24XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobiland Top Line;Via Redipuglia X,;34076;ROMANS D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9507XX;45.89XXX 13.44XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobilarredi di Codutti;Via Spilimbergo XXX,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6771XX;46.08XXX 13.17XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilarredo;Via delle Scuole, XX, Magredis;33040;POVOLETTO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6660XX;46.13XXX 13.30XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilcasa Srl Unipersonale;Via I Maggio,;33019;TRICESIMO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8512XX;46.15XXX 13.21XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilcrosada S.r.l.;Viale dei Platani XX,;33050;SANTA MARIA LA LONGA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6759XX;45.97XXX 13.27XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilcrosada S.r.l.;Viale dei Platani XX,;33050;SANTA MARIA LA LONGA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6759XX;45.97XXX 13.27XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobildoro Arredamenti;Frazione Oculis, X,;33049;SAN PIETRO AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7276XX;46.13XXX 13.48XXX;info@federweb.com;
Cucine Componibili        Arredamenti - Vendita al Dettaglio;Mobili Baa';Via Fortunio Francesco, X,;34141;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-06420XX;45.64XXX 13.78XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobili Boz Sas;Via Nuova, XX,;;MEDUNO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-861XX;46.21XXX 12.79XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Brugnera&c. (S.n.c.);Via Guglielmo Marconi XX,;34079;STARANZANO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7104XX;45.80XXX 13.49XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Casabella Srl;Via Trieste XX,;33050;PAVIA DI UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6756XX;45.99XXX 13.30XXX;info@federweb.com;
Mobili Artistici in Stile - Vendita al Dettaglio;Mobili d'Arte Marangoni Luigi e Figli s.a.s.;Via iv Novembre X,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4817XX;45.81XXX 13.52XXX;info@federweb.com;
Cucine Componibili        Mobili - Vendita al Dettaglio;Mobili Dei Rossi;Via Guido Brunner, XX,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6626XX;45.650XXX 13.782XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Della Brianza Tagliabue;Via Ippolito Nievo XX,;33058;SAN GIORGIO DI NOGARO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-651XX;45.83XXX 13.20XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Elio;;34100;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-2252XX;45.64XXX 13.78XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobili Fiver;Via Maestri Del Lavoro, XX,;33087;PASIANO DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6040XX;45.86XXX 12.6XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Fratelli Turina;Via Antonio Baiamonti, XXX,;34145;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-8153XX;45.63XXX 13.79XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Gamma Srl;Via Giuseppe Garibaldi XX/B, Cusano;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5744XX;45.94XXX 12.77XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Mainardis Licio;Via Valcalda, X,;33020;SUTRIO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-7780XX;46.51XXX 12.9XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Misura Srl - Arredamenti su Misura;Via Guglielmo Marconi XX,;33050;MORTEGLIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7601XX;45.94XXX 13.16XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Olinto Rosin S.r.l.;Piazza Manzoni X,;33040;CAMPOLONGO TAPOGLIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-995XX;45.86XXX 13.38XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Omenetto S.n.c. Dei Fratelli Omenetto;Via del Cristo XX,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7541XX;45.9XXX 13.36XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Omenetto Snc;Via Udine X,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7541XX;45.98XXX 13.37XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Piccinato Olindo s.a.s. di Piccinato Bianca & c.;Via Vittorio Veneto XX,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6230XX;45.90XXX 12.52XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Piccinato Olindo s.a.s. di Piccinato Bianca;Via Vittorio Veneto, XX,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6230XX;45.90XXX 12.52XXX;info@federweb.com;
Mobili - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Mobili Rosin;Via IV Novembre, XX,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-420XX;45.81XXX 13.523XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Selenati;;;;0435-4692XX;46.56XXX 12.70XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Selvazzo di Nereo Selvazzo e c. Snc;Via Gorizia XX,;33050;RUDA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-990XX;45.8XXX 13.40XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobili Tempo;Piazza Caduti XX,;34076;ROMANS D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-900XX;45.9XXX 13.56XXX;info@federweb.com;
Mobili - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Mobili Vivarelli S.r.l.;Via Pitteri Riccardo, X,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-5330XX;45.94XXX 13.61XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilia Srl;Viale Tricesimo X,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5720XX;46.07XXX 13.23XXX;info@federweb.com;
Mobili Artistici in Stile - Vendita al Dettaglio;Mobilifici Riuniti di Busiol r. Sandro e Ornello S.n.c.;Via Vittorio Veneto XX,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6230XX;45.90XXX 12.52XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilificio Bertolutti;Via Vittorio Veneto, XX,;33040;POVOLETTO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6790XX;46.11XXX 13.29XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilificio F.lli Rossi S.n.c. di Rossi Lauro & c.;Viale Europa X/A,;33050;POZZUOLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;335-3833XX;46.00XXX 13.20XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilificio Lenarduzzi f. & c. Srl;Via Belvedere XX,;33095;SAN GIORGIO DELLA RICHINVELDA ;(PN) ;    FRIULI VENEZIA GIULIA;0427-9499XX;46.03XXX 12.83XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilificio Pitton Gastone S.n.c.;Via Nazionale XX,;33056;PALAZZOLO DELLO STELLA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-583XX;45.80XXX 13.08XXX;info@federweb.com;
Mobili - Produzione e Ingrosso;Mobilificio Vivian;Via Pordenone, XX,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6270XX;45.92XXX 12.58XXX;info@federweb.com;
Cucine Componibili        Arredamenti - Vendita al Dettaglio;Mobilsnaidero S.r.l.;Frazione Tiveriacco X/X,;33030;MAJANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9592XX;46.18XXX 13.05XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobilsnaidero S.r.l.;Viale Rino Snaidero XX,;33030;MAJANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9592XX;46.18XXX 13.06XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Modal Bimbi;Via del Cristo, XX/B,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-17186XX;45.98XXX 13.36XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Modulart S.r.l.;Via Domenico Guerrazzi X/B,;33074;FONTANAFREDDA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-992XX;45.96XXX 12.57XXX;info@federweb.com;
Sedie e Tavoli - Produzione, Ingrosso        Sedie e Tavoli - Vendita al Dettaglio;Montbel;Via delle Scuole, XX,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7507XX;45.98XXX 13.38XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Moro Arreda S.n.c.;Via Sclavons XX,;33084;CORDENONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-4578XX;45.9XXX 12.69XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Morocutti Walter;Viale Udine XX,;33010;RESIUTTA ;(UD) ;    FRIULI VENEZIA GIULIA;0433-513XX;46.39XXX 13.2XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Multitema - Mobili Per Ufficio;Strada di Oselin, XX,;33047;REMANZACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6492XX;46.07XXX 13.29XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Nadir s.a.s. di Fontanel Sandro e Gabriele;Via Pedrina XX,;33082;AZZANO DECIMO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5919XX;45.88XXX 12.67XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Napoleonica Arredamenti;Via Napoleonica XX,;33050;CASTIONS DI STRADA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7694XX;45.92XXX 13.18XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Natural Home di Ivan de Leo;Via Montello XX,;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9785XX;45.9XXX 12.75XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Naturalcubo S.n.c.;Via Corti X/A,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-24185XX;45.64XXX 13.76XXX;info@federweb.com;
Mobili - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Nolte Cucine Store pl Interior Design;Piazza del Municipio, X,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7534XX;45.94XXX 13.62XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Notarnicola Felice;Via Foschiani X,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7553XX;45.99XXX 13.38XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Ognistil Arredamenti (S.n.c.);Via Cividale X,;33040;FAEDIS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7280XX;46.15XXX 13.34XXX;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Oliva Franco di Oliva Mauro;Via Papa Giovanni Xxiii XX,;33040;CORNO DI ROSAZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7591XX;45.99XXX 13.44XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Oliva Franco di Oliva Mauro;Via Papa Giovanni XX,;33040;CORNO DI ROSAZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7591XX;45.99XXX 13.45XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Outlet Arreda;Via Alcide De Gasperi, X,;33053;LATISANA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-5211XX;45.77XXX 13.01XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;P.n.p. di Pivetta Claudio & c. Snc;Via Enrico Mattei XX,;33080;PRATA DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6204XX;45.88XXX 12.57XXX;info@federweb.com;
Arredamenti - Produzione e Ingrosso        Arredamenti - Vendita al Dettaglio;Palu' Mario Srl - Componenti d'Arredo;Strada Interna Loc. San Giovanni di Livenza, XX/C,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-763XX;45.9XXX 12.XXX;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Perissinotto Enrico;Via Divisione Julia XX,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7408XX;45.98XXX 13.38XXX;info@federweb.com;
Bagno - Accessori e Mobili        Ceramiche per Pavimenti e Rivestimenti - Vendita al Dettaglio;Pertot 1969;Via Flavia di Stramare, XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2325XX;45.5XXX 13.XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Peruch Arredo Giardino di Peruch Evangelista & c. Snc;Fontanafredda XXX Via Brigata Osoppo,;33074;FONTANAFREDDA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-993XX;45.97XXX 12.5XXX;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Pettarini Impagliatura di Pettarini Claudia;Via Antonio Gramsci X,;33040;CORNO DI ROSAZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7594XX;45.99XXX 13.44XXX;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Pettarini Impagliatura di Pettarini Claudia;Via Antonio Gramsci X,;33040;CORNO DI ROSAZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7594XX;45.99XXX 13.44XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Piazza Riccardo Interior Design rp Ambienti;Via Udine, XX,;33050;CASTIONS DI STRADA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7694XX;45.91XXX 13.181XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Piccinato Antonio;Via Maniago XX,;33080;SAN QUIRINO ;(PN) ;    FRIULI VENEZIA GIULIA;335-4236XX;46.03XXX 12.65XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Piccolo Arredamenti Snc;Via Codopè XX/XX,;33087;PASIANO DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6028XX;45.87XXX 12.66XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Piccolo Rudy - Mobili e Progetti;Via Giuseppe Garibaldi X,;33087;PASIANO DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6280XX;45.87XXX 12.61XXX;info@federweb.com;
Abbigliamento Sportivo, Jeans e Casuals - Vendita al Dettaglio;Piller Ferruccio Abbigliamento & Sport di Piller Fabrizio & c. s.a.s.;;;;0435-4691XX;46.5XXX 12.68XXX;info@federweb.com;
Bagno - Accessori e Mobili        Ceramiche per Pavimenti e Rivestimenti - Vendita al Dettaglio;Pitacco Show Room Arredo Casa;Via Gorizia, XX,;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;0428-409XX;46.50XXX 13.58XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Pittini Arredamenti;Via Giacomo Matteotti, XX,;33010;OSOPPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9720XX;46.25XXX 13.09XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Pittini Arredamenti;Via Campagnola XXX,;33013;GEMONA DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9720XX;46.29XXX 13.11XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Play s.a.s. di Guizzo Emilio;Via Pordenone X, Poincicco;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9775XX;45.94XXX 12.73XXX;info@federweb.com;
Salotti        Poltrone e Divani - Vendita al Dettaglio;Presalotto . a Socio Unico;Via Nazionale, XX,;33010;MAGNANO IN RIVIERA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7930XX;46.22XXX 13.172XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Progetto Arredo S.n.c. di Marco Gennaro & F.lli;Via Madonna della Salute X,;33050;POZZUOLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6692XX;45.98XXX 13.2XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Progetto Arredo S.n.c. di Marco Gennaro e F.lli;Via Deganutti Cecilia XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2279XX;46.06XXX 13.23XXX;info@federweb.com;
Serramenti ed Infissi        Arredamenti - Vendita al Dettaglio;Punto Casa Risparmio;Via Pontebbana, XX,;33074;FONTANAFREDDA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-993XX;45.9XXX 12.5XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Pupis S.r.l.;Duino XX, Duino;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2992XX;45.77XXX 13.6XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Quickliving Snc;Po Box XX,;33019;TRICESIMO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8840XX;46.15XXX 13.21XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Radici Succ. di Pierangelo e Mario Gallinotti Snc;Via Muratti Giusto X,;34122;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7724XX;45.65XXX 13.77XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Rambaldini Erzio & f. Eredi S.n.c.;Via Marconi g. XX,;33082;AZZANO DECIMO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6310XX;45.8XXX 12.71XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Rdci Srl;Via Nazionale XXX,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-17713XX;46.11XXX 13.22XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Riva Renato;Via Grazzano XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4886XX;46.05XXX 13.23XXX;info@federweb.com;
Falegnami        Arredamenti - Vendita al Dettaglio;Rizzi Serramenti;Via Cividale, XXX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5826XX;46.07XXX 13.28XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Roson & Coccolo Arredamenti;Via Marittima, XX,;33058;SAN GIORGIO DI NOGARO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-656XX;45.82XXX 13.21XXX;info@federweb.com;
Mobilieri e Falegnami - Forniture        Mobili - Vendita al Dettaglio;Sap Componenti Per Mobili;Viale Lino Zanussi, XX,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6244XX;45.90XXX 12.55XXX;info@federweb.com;
Energia Solare ed Energie Alternative - Impianti e Componenti        Arredamenti - Vendita al Dettaglio;Saros S.r.l.;Via Gabelli Aristide XX,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5518XX;45.96XXX 12.62XXX;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Savio di Savio Federico;Via Braiduzza X,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7577XX;45.97XXX 13.42XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Scavolini Store;Viale San Giovanni del Tempio XX,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7841XX;45.96XXX 12.52XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Scavolini Store Sacile;Viale s. Giovanni del Tempio XX/I,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6260XX;45.96XXX 12.52XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Schafer Design di Cinzia Zaccaron;Via dell' Orologio X,;34121;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-47032XX;45.6XXX 13.76XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Sclauzero Aldo;Via dei Conti X,;33050;TRIVIGNANO UDINESE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9992XX;45.95XXX 13.32XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Scruzzi Enrico;Via Giovanni Battista Candotti XX,;33039;SEDEGLIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9162XX;46.XXX 12.97XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Selva Forniture Casa Ufficio Comunita';Via Valentinis Eugenio XX,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4103XX;45.80XXX 13.54XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Selva Forniture;Via Valentinis Eugenio XX,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4119XX;45.80XXX 13.54XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Semeraro Casa & Famiglia S.p.a.;Via Pionieri dell'Aria XX,;33080;ROVEREDO IN PIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9640XX;46.02XXX 12.61XXX;info@federweb.com;
Serramenti ed Infissi Legno        Arredamenti - Vendita al Dettaglio;Serramenti Ros;Strada per Fratta, XX/A,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;347-27966XX;45.94XXX 12.46XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Sincerotto Arredamenti e Cucine;Via Nazionale, X,;33042;BUTTRIO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6746XX;46.01XXX 13.32XXX;info@federweb.com;
Sedie e Tavoli - Produzione, Ingrosso        Sedie e Tavoli - Vendita al Dettaglio;Sipa di Chiappo f e p;Via Pacifico Valussi, X, Orsaria;33040;PREMARIACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7162XX;46.0XXX 13.389XXX;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Sisa Snc di Pietro Daffara Alberto Ranza e c;Via Papa Giovanni Xxiii XX,;33040;CORNO DI ROSAZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7590XX;45.99XXX 13.45XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Sistemarredi di Anna Cavezzali;Via Cividale XX,;33084;CORDENONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-2414XX;45.9XXX 12.68XXX;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Snaidero Federico;Via del Cristo XX/XX,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7542XX;45.9XXX 13.36XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Soler Emilio;Via Cavour XX,;33097;SPILIMBERGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-20XX;46.11XXX 12.89XXX;info@federweb.com;
Mobili - Produzione, Ingrosso        Mobili - Vendita al Dettaglio;Spaccio Mobili;Via Udine XX,;34072;GRADISCA D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9613XX;45.88XXX 13.48XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Stefani Mobili;Via Nazionale, XX,;33020;ENEMONZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-743XX;46.409XXX 12.881XXX;info@federweb.com;
