Centri Commerciali, Supermercati e Grandi Magazzini;Zuiki c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0432-461XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Liv'in de Longhi Store c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8373XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Liu jo Uomo c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8364XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lindt c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;342-13385XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lindt c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;348-49872XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Linda di Chen Aidong;Via Vittorio Veneto XXX,;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;0428-28XX;46.50XXX 13.58XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lidl Italia Srl;Viale Tricesimo XXX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4253XX;46.09XXX 13.23XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lidl;Via Goetta X,;33084;CORDENONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5327XX;45.97XXX 12.68XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lidl;Viale Udine XX,;33078;SAN VITO AL TAGLIAMENTO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-4213XX;45.92XXX 12.87XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lidl;Viale Pontebbana,;33010;CASSACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8542XX;46.18XXX 13.19XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lidl;Via Taboga X,;33013;GEMONA DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9716XX;46.26XXX 13.10XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Levi's c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-16982XX;46.08XXX 13.17XXX;info@federweb.com;
Bricolage e Fai da te        Centri Commerciali, Supermercati e Grandi Magazzini;Leroy Merlin Italia Srl;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4088XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Leroy Merlin c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4088XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Legea c/o Torri d'Europa;Via Italo Svevo XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6303XX;45.63XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lee - Wrangler c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9328XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Le Valli di Carnia;Zona Industriale X,;33020;AMARO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-22XX;46.37XXX 13.07XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Le Torri d'Europa - Societa' Consortile a Resp.Limitata;Via Bartolomeo d'Alviano XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6374XX;45.63XXX 13.78XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Le Group c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9181XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Ld;Viale Trieste XX,;34072;GRADISCA D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-993XX;45.88XXX 13.49XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lavasecco Alfea c/o Belforte Gran Shopping;Via g. f. Pocar X,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;392-20662XX;45.81XXX 13.5XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lavapiu' c/o Pradamano Shopping Center;Via Nazionale XXX, Lovaria;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6400XX;46.0XXX 13.27XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lava & Cuce c/o Terminal Nord;Via Tricesimo XXX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4807XX;46.09XXX 13.23XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lava & Cuce c/o Montedoro Shopping Center;Via Flavia di Stramare XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-92350XX;45.59XXX 13.80XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Last Minute Tour c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-0689XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Larredopiu' c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;338-79838XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lanificio Angelico c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9972XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Lagostina Home&Cook c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8363XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;La Lavanda di Kovaci Laureta & c. Sas;Via della Ginnastica X/b,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7752XX;45.65XXX 13.77XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;La Freschezza s.a.s.;Via Giosue' Carducci XX,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-859XX;45.67XXX 13.39XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;La Flash c/o Arcobaleno;Via Corecian XX,;33031;BASILIANO ;(UD) ;    FRIULI VENEZIA GIULIA;388-5030XX;46.0XXX 13.11XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;La Feltrinelli c/o Arcobaleno;Via Corecian XX,;33031;BASILIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8306XX;46.0XXX 13.11XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;L'Erbolario c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-913XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;L'Erbolario c/o Pradamano Shopping Center;Via Nazionale XXX, Lovaria;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6710XX;46.0XXX 13.27XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;L'Erbolario c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4108XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Komauli (S.r.l.);Via Bosco Don Giovanni XXX,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-5330XX;45.95XXX 13.61XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Kocca;SpXXX X,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8379XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Koala Shoes c/o Belforte Gran Shopping;Via g. f. Pocar X,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;334-82638XX;45.81XXX 13.5XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kit Market c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5425XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kisene' c/o Torri d'Europa;Via Italo Svevo XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3624XX;45.63XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kiko c/o Torri d'Europa;Via Italo Svevo XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6356XX;45.63XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kiko c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9182XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kiko c/o Pradamano Shopping Center;Via Nazionale XXX, Lovaria;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6710XX;46.0XXX 13.27XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kiko c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8378XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kiko c/o Montedoro Shopping Center;Via Flavia di Stramare XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-92353XX;45.59XXX 13.80XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kiko c/o i Salici;Viale Europa X, Cornadella;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7819XX;45.94XXX 12.46XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kiko c/o Gran Fiume Shopping;Via Maestri del Lavoro XX,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5615XX;45.94XXX 12.72XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kiko c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4002XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kiko c/o Belforte Gran Shopping;Via g. f. Pocar X,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7919XX;45.81XXX 13.5XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kidult c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-16982XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kids Revolution Outlet c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;348-42533XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kids Brands House by Scoop c/o i Salici;Viale Europa X, Cornadella;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7462XX;45.94XXX 12.46XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kiabi c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-17235XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kennet Street c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-16981XX;46.08XXX 13.17XXX;info@federweb.com;
Casalinghi        Centri Commerciali, Supermercati e Grandi Magazzini;Kasanova c/o Torri d'Europa;Via Italo Svevo XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6346XX;45.63XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kasanova c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-917XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kasanova c/o i Salici;Viale Europa X, Cornadella;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0481-917XX;45.94XXX 12.46XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Kasanova c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5427XX;46.08XXX 13.17XXX;info@federweb.com;
Calzature - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Kappa Outlet;SpXXX X,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8374XX;45.88XXX 13.33XXX;info@federweb.com;
Mobili Letto        Centri Commerciali, Supermercati e Grandi Magazzini;Jysk c/o Pradamano Shopping Center;Via Nazionale XXX, Lovaria;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6414XX;46.0XXX 13.27XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Just Fashion c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4102XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Jules Italia;Piazza della Borsa X,;34121;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3641XX;45.65XXX 13.76XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Jolidon c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4107XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;John Barritt c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8364XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Jean Louis David c/o Torri d'Europa;Via Italo Svevo XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7685XX;45.63XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Jean Claude c/o Friuli;Via Nazionale XXX,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5741XX;46.1XXX 13.2XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Jd c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-0691XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Jaked c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8378XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Jack & Jones c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9181XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Jack & Jones c/o Gran Fiume Shopping;Via Maestri del Lavoro XX,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9572XX;45.94XXX 12.72XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Ixos c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8363XX;45.88XXX 13.33XXX;info@federweb.com;
Casalinghi        Centri Commerciali, Supermercati e Grandi Magazzini;Italian Factory c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8364XX;45.88XXX 13.33XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Iperspak Supermercato;Via Arba XX,;33085;MANIAGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-7099XX;46.16XXX 12.71XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Ipercoop;Via Venuti X/A,;34072;GRADISCA D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9585XX;45.89XXX 13.47XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Ipercoop;Via Italo Svevo XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-67675XX;45.63XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Ipercoop;Via Italo Svevo XX,;;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-67675XX;45.63XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Ipercoop;Località Maranuz X,;;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-96477XX;45.8XXX 13.43XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Ipercoop;Via Flavia di Stramare XXX,;;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-23978XX;45.59XXX 13.80XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Ipercoop;Via Flavia di Stramare XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-23978XX;45.59XXX 13.80XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Iper Visotto;Via Arrio X,;33030;BUJA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9614XX;46.2XXX 13.12XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Iper Visotto;Via Dogana XX, Vallenoncello;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5783XX;45.93XXX 12.64XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Iper Visotto;Via del Benessere X,;33084;CORDENONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9306XX;45.XXX 12.7XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Iper Visotto;Viale della Stazione X,;33083;CHIONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6301XX;45.86XXX 12.74XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Iper Montebello S.p.a.;Via Cotonificio XX,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5427XX;46.08XXX 13XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Iper Conad;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5441XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Intesa S.r.l.;Via Cividale XXX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2813XX;46.0XXX 13.27XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Intesa S.r.l.;Via della Chiesa XX,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4355XX;46.11XXX 13.22XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Intesa S.r.l.;Via Spilimbergo XX,;33037;PASIAN DI PRATO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4103XX;46.0XXX 13.18XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Intesa S.r.l.;Via Gabriele d'Annunzio X,;33050;SANTA MARIA LA LONGA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6851XX;45.97XXX 13.27XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Intersport Outlet c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5443XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Interspar Pradamano;Via Pierpaolo Pasolini, Int. X,;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6700XX;46.020XXX 13.287XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Interspar Pordenone (Benedetto Marcello);Via Benedetto Marcello, X,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5440XX;45.96XXX 12.673XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Interspar Martignacco;Ss XXX Spilimbergo,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6573XX;46.08XXX 13.142XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Interspar Cassacco;Viale Pontebbana, XX,;33010;CASSACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8556XX;46.18XXX 13.201XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Interspar Bagnaria Arsa;Via E. Mattei, Loc Merlana,;33050;BAGNARIA ARSA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9295XX;45.88XXX 13.312XXX;info@federweb.com;
Detergenti Industriali        Centri Commerciali, Supermercati e Grandi Magazzini;Ingross Service di Monaco Sergio;Via Tosi Enore XX,;33034;FAGAGNA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9402XX;46.10XXX 13.08XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's Mercato S.p.a.;Viale Palmanova XXX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6013XX;46.04XXX 13.25XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's Mercato S.p.a.;Via Diaz Armando XX,;34124;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3111XX;45.64XXX 13.76XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's Mercato S.p.a.;Via Catullo X,;34127;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-5718XX;45.65XXX 13.78XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's Mercato S.p.a.;Viale Europa XX,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-7211XX;45.68XXX 13.12XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's Mercato S.p.a.;Via Udine XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5203XX;45.95XXX 12.6XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's Mercato S.p.a.;Via Torre Picotta X,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-4670XX;46.41XXX 13.01XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's Mercato S.p.a.;Via San Polo XXX,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4104XX;45.81XXX 13.52XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;Via Marangoni XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5341XX;46.06XXX 13.22XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;Via Udine XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-295XX;45.95XXX 12.6XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;Via Carminati XX/XX,;33072;CASARSA DELLA DELIZIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-8708XX;45.95XXX 12.84XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;;;;0431-9705XX;45.80XXX 13.39XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;Via del Macello X,;33058;SAN GIORGIO DI NOGARO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-6220XX;45.82XXX 13.21XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;Via del Ponzianino XX,;34137;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-34806XX;45.64XXX 13.78XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;Via Revoltella XX,;34138;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3941XX;45.64XXX 13.78XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;Via Orsera XX/XX,;34145;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3832XX;45.63XXX 13.78XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;Via Nazionale X,;34070;SAN LORENZO ISONTINO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-8080XX;45.93XXX 13.53XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;Viale Rimembranze XX,;33082;AZZANO DECIMO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6333XX;45.88XXX 12.7XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;Via Pietro Zorutti XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6368XX;45.63XXX 13.78XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;Viale Michelangelo Grigoletti XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-0397XX;45.96XXX 12.6XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;In's;Localita' Rupingrande XX, Repen;34016;MONRUPINO ;(TS) ;    FRIULI VENEZIA GIULIA;040-3272XX;45.72XXX 13.79XXX;info@federweb.com;
