Arredamenti - Produzione, Ingrosso        Arredamenti - Vendita al Dettaglio;Mobil Nord Mobilificio;Via Divisione Julia, ,;33040;FAEDIS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7282;46.15 13.34;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobil Service Srl;Via Economo Giovanni e Demetrio /A,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3070;45.6 13.75;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobil Troiani Srl;Via Spilimbergo ,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8105;46.09 13.13;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobil-e di Protto Sabrina;Via Ronchi ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-212;46.06 13.24;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobiland Top Line;Via Redipuglia ,;34076;ROMANS D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9507;45.89 13.44;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobilarredi di Codutti;Via Spilimbergo ,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6771;46.08 13.17;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilarredo;Via delle Scuole, , Magredis;33040;POVOLETTO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6660;46.13 13.30;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilcasa Srl Unipersonale;Via I Maggio,;33019;TRICESIMO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8512;46.15 13.21;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilcrosada S.r.l.;Viale dei Platani ,;33050;SANTA MARIA LA LONGA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6759;45.97 13.27;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilcrosada S.r.l.;Viale dei Platani ,;33050;SANTA MARIA LA LONGA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6759;45.97 13.27;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobildoro Arredamenti;Frazione Oculis, ,;33049;SAN PIETRO AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7276;46.13 13.48;info@federweb.com;
Cucine Componibili        Arredamenti - Vendita al Dettaglio;Mobili Baa';Via Fortunio Francesco, ,;34141;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-06420;45.64 13.78;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobili Boz Sas;Via Nuova, ,;;MEDUNO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-861;46.21 12.79;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Brugnera&c. (S.n.c.);Via Guglielmo Marconi ,;34079;STARANZANO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7104;45.80 13.49;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Casabella Srl;Via Trieste ,;33050;PAVIA DI UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6756;45.99 13.30;info@federweb.com;
Mobili Artistici in Stile - Vendita al Dettaglio;Mobili d'Arte Marangoni Luigi e Figli s.a.s.;Via iv Novembre ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4817;45.81 13.52;info@federweb.com;
Cucine Componibili        Mobili - Vendita al Dettaglio;Mobili Dei Rossi;Via Guido Brunner, ,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6626;45.650 13.782;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Della Brianza Tagliabue;Via Ippolito Nievo ,;33058;SAN GIORGIO DI NOGARO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-651;45.83 13.20;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Elio;;34100;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-2252;45.64 13.78;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobili Fiver;Via Maestri Del Lavoro, ,;33087;PASIANO DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6040;45.86 12.6;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Fratelli Turina;Via Antonio Baiamonti, ,;34145;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-8153;45.63 13.79;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Gamma Srl;Via Giuseppe Garibaldi /B, Cusano;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5744;45.94 12.77;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Mainardis Licio;Via Valcalda, ,;33020;SUTRIO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-7780;46.51 12.9;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Misura Srl - Arredamenti su Misura;Via Guglielmo Marconi ,;33050;MORTEGLIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7601;45.94 13.16;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Olinto Rosin S.r.l.;Piazza Manzoni ,;33040;CAMPOLONGO TAPOGLIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-995;45.86 13.38;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Omenetto S.n.c. Dei Fratelli Omenetto;Via del Cristo ,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7541;45.9 13.36;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Omenetto Snc;Via Udine ,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7541;45.98 13.37;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Piccinato Olindo s.a.s. di Piccinato Bianca & c.;Via Vittorio Veneto ,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6230;45.90 12.52;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Piccinato Olindo s.a.s. di Piccinato Bianca;Via Vittorio Veneto, ,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6230;45.90 12.52;info@federweb.com;
Mobili - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Mobili Rosin;Via IV Novembre, ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-420;45.81 13.523;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Selenati;;;;0435-4692;46.56 12.70;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobili Selvazzo di Nereo Selvazzo e c. Snc;Via Gorizia ,;33050;RUDA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-990;45.8 13.40;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobili Tempo;Piazza Caduti ,;34076;ROMANS D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-900;45.9 13.56;info@federweb.com;
Mobili - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Mobili Vivarelli S.r.l.;Via Pitteri Riccardo, ,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-5330;45.94 13.61;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilia Srl;Viale Tricesimo ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5720;46.07 13.23;info@federweb.com;
Mobili Artistici in Stile - Vendita al Dettaglio;Mobilifici Riuniti di Busiol r. Sandro e Ornello S.n.c.;Via Vittorio Veneto ,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6230;45.90 12.52;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilificio Bertolutti;Via Vittorio Veneto, ,;33040;POVOLETTO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6790;46.11 13.29;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilificio F.lli Rossi S.n.c. di Rossi Lauro & c.;Viale Europa /A,;33050;POZZUOLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;335-3833;46.00 13.20;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilificio Lenarduzzi f. & c. Srl;Via Belvedere ,;33095;SAN GIORGIO DELLA RICHINVELDA ;(PN) ;    FRIULI VENEZIA GIULIA;0427-9499;46.03 12.83;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilificio Pitton Gastone S.n.c.;Via Nazionale ,;33056;PALAZZOLO DELLO STELLA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-583;45.80 13.08;info@federweb.com;
Mobili - Produzione e Ingrosso;Mobilificio Vivian;Via Pordenone, ,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6270;45.92 12.58;info@federweb.com;
Cucine Componibili        Arredamenti - Vendita al Dettaglio;Mobilsnaidero S.r.l.;Frazione Tiveriacco /,;33030;MAJANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9592;46.18 13.05;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Mobilsnaidero S.r.l.;Viale Rino Snaidero ,;33030;MAJANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9592;46.18 13.06;info@federweb.com;
Mobili - Vendita al Dettaglio;Modal Bimbi;Via del Cristo, /B,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-17186;45.98 13.36;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Modulart S.r.l.;Via Domenico Guerrazzi /B,;33074;FONTANAFREDDA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-992;45.96 12.57;info@federweb.com;
Sedie e Tavoli - Produzione, Ingrosso        Sedie e Tavoli - Vendita al Dettaglio;Montbel;Via delle Scuole, ,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7507;45.98 13.38;info@federweb.com;
Mobili - Vendita al Dettaglio;Moro Arreda S.n.c.;Via Sclavons ,;33084;CORDENONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-4578;45.9 12.69;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Morocutti Walter;Viale Udine ,;33010;RESIUTTA ;(UD) ;    FRIULI VENEZIA GIULIA;0433-513;46.39 13.2;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Multitema - Mobili Per Ufficio;Strada di Oselin, ,;33047;REMANZACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6492;46.07 13.29;info@federweb.com;
Mobili - Vendita al Dettaglio;Nadir s.a.s. di Fontanel Sandro e Gabriele;Via Pedrina ,;33082;AZZANO DECIMO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5919;45.88 12.67;info@federweb.com;
Mobili - Vendita al Dettaglio;Napoleonica Arredamenti;Via Napoleonica ,;33050;CASTIONS DI STRADA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7694;45.92 13.18;info@federweb.com;
Mobili - Vendita al Dettaglio;Natural Home di Ivan de Leo;Via Montello ,;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9785;45.9 12.75;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Naturalcubo S.n.c.;Via Corti /A,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-24185;45.64 13.76;info@federweb.com;
Mobili - Vendita al Dettaglio        Arredamenti - Vendita al Dettaglio;Nolte Cucine Store pl Interior Design;Piazza del Municipio, ,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7534;45.94 13.62;info@federweb.com;
Mobili - Vendita al Dettaglio;Notarnicola Felice;Via Foschiani ,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7553;45.99 13.38;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Ognistil Arredamenti (S.n.c.);Via Cividale ,;33040;FAEDIS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7280;46.15 13.34;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Oliva Franco di Oliva Mauro;Via Papa Giovanni xiii ,;33040;CORNO DI ROSAZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7591;45.99 13.44;info@federweb.com;
Mobili - Vendita al Dettaglio;Oliva Franco di Oliva Mauro;Via Papa Giovanni ,;33040;CORNO DI ROSAZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7591;45.99 13.45;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Outlet Arreda;Via Alcide De Gasperi, ,;33053;LATISANA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-5211;45.77 13.01;info@federweb.com;
Arredamenti - Vendita al Dettaglio;P.n.p. di Pivetta Claudio & c. Snc;Via Enrico Mattei ,;33080;PRATA DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6204;45.88 12.57;info@federweb.com;
Arredamenti - Produzione e Ingrosso        Arredamenti - Vendita al Dettaglio;Palu' Mario Srl - Componenti d'Arredo;Strada Interna Loc. San Giovanni di Livenza, /C,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-763;45.9 12.;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Perissinotto Enrico;Via Divisione Julia ,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7408;45.98 13.38;info@federweb.com;
Bagno - Accessori e Mobili        Ceramiche per Pavimenti e Rivestimenti - Vendita al Dettaglio;Pertot 1969;Via Flavia di Stramare, ,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2325;45.5 13.;info@federweb.com;
Mobili - Vendita al Dettaglio;Peruch Arredo Giardino di Peruch Evangelista & c. Snc;Fontanafredda  Via Brigata Osoppo,;33074;FONTANAFREDDA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-993;45.97 12.5;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Pettarini Impagliatura di Pettarini Claudia;Via Antonio Gramsci ,;33040;CORNO DI ROSAZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7594;45.99 13.44;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Pettarini Impagliatura di Pettarini Claudia;Via Antonio Gramsci ,;33040;CORNO DI ROSAZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7594;45.99 13.44;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Piazza Riccardo Interior Design rp Ambienti;Via Udine, ,;33050;CASTIONS DI STRADA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7694;45.91 13.181;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Piccinato Antonio;Via Maniago ,;33080;SAN QUIRINO ;(PN) ;    FRIULI VENEZIA GIULIA;335-4236;46.03 12.65;info@federweb.com;
Mobili - Vendita al Dettaglio;Piccolo Arredamenti Snc;Via Codopè /,;33087;PASIANO DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6028;45.87 12.66;info@federweb.com;
Mobili - Vendita al Dettaglio;Piccolo Rudy - Mobili e Progetti;Via Giuseppe Garibaldi ,;33087;PASIANO DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6280;45.87 12.61;info@federweb.com;
Abbigliamento Sportivo, Jeans e Casuals - Vendita al Dettaglio;Piller Ferruccio Abbigliamento & Sport di Piller Fabrizio & c. s.a.s.;;;;0435-4691;46.5 12.68;info@federweb.com;
Bagno - Accessori e Mobili        Ceramiche per Pavimenti e Rivestimenti - Vendita al Dettaglio;Pitacco Show Room Arredo Casa;Via Gorizia, ,;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;0428-409;46.50 13.58;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Pittini Arredamenti;Via Giacomo Matteotti, ,;33010;OSOPPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9720;46.25 13.09;info@federweb.com;
Mobili - Vendita al Dettaglio;Pittini Arredamenti;Via Campagnola ,;33013;GEMONA DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9720;46.29 13.11;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Play s.a.s. di Guizzo Emilio;Via Pordenone , Poincicco;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9775;45.94 12.73;info@federweb.com;
Salotti        Poltrone e Divani - Vendita al Dettaglio;Presalotto . a Socio Unico;Via Nazionale, ,;33010;MAGNANO IN RIVIERA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7930;46.22 13.172;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Progetto Arredo S.n.c. di Marco Gennaro & F.lli;Via Madonna della Salute ,;33050;POZZUOLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6692;45.98 13.2;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Progetto Arredo S.n.c. di Marco Gennaro e F.lli;Via Deganutti Cecilia ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2279;46.06 13.23;info@federweb.com;
Serramenti ed Infissi        Arredamenti - Vendita al Dettaglio;Punto Casa Risparmio;Via Pontebbana, ,;33074;FONTANAFREDDA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-993;45.9 12.5;info@federweb.com;
Mobili - Vendita al Dettaglio;Pupis S.r.l.;Duino , Duino;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2992;45.77 13.6;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Quickliving Snc;Po Box ,;33019;TRICESIMO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8840;46.15 13.21;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Radici Succ. di Pierangelo e Mario Gallinotti Snc;Via Muratti Giusto ,;34122;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7724;45.65 13.77;info@federweb.com;
Mobili - Vendita al Dettaglio;Rambaldini Erzio & f. Eredi S.n.c.;Via Marconi g. ,;33082;AZZANO DECIMO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6310;45.8 12.71;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Rdci Srl;Via Nazionale ,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-17713;46.11 13.22;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Riva Renato;Via Grazzano ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4886;46.05 13.23;info@federweb.com;
Falegnami        Arredamenti - Vendita al Dettaglio;Rizzi Serramenti;Via Cividale, ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5826;46.07 13.28;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Roson & Coccolo Arredamenti;Via Marittima, ,;33058;SAN GIORGIO DI NOGARO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-656;45.82 13.21;info@federweb.com;
Mobilieri e Falegnami - Forniture        Mobili - Vendita al Dettaglio;Sap Componenti Per Mobili;Viale Lino Zanussi, ,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6244;45.90 12.55;info@federweb.com;
Energia Solare ed Energie Alternative - Impianti e Componenti        Arredamenti - Vendita al Dettaglio;Saros S.r.l.;Via Gabelli Aristide ,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5518;45.96 12.62;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Savio di Savio Federico;Via Braiduzza ,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7577;45.97 13.42;info@federweb.com;
Mobili - Vendita al Dettaglio;Scavolini Store;Viale San Giovanni del Tempio ,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7841;45.96 12.52;info@federweb.com;
Mobili - Vendita al Dettaglio;Scavolini Store Sacile;Viale s. Giovanni del Tempio /I,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6260;45.96 12.52;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Schafer Design di Cinzia Zaccaron;Via dell' Orologio ,;34121;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-47032;45.6 13.76;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Sclauzero Aldo;Via dei Conti ,;33050;TRIVIGNANO UDINESE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9992;45.95 13.32;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Scruzzi Enrico;Via Giovanni Battista Candotti ,;33039;SEDEGLIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9162;46. 12.97;info@federweb.com;
Mobili - Vendita al Dettaglio;Selva Forniture Casa Ufficio Comunita';Via Valentinis Eugenio ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4103;45.80 13.54;info@federweb.com;
Mobili - Vendita al Dettaglio;Selva Forniture;Via Valentinis Eugenio ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4119;45.80 13.54;info@federweb.com;
Mobili - Vendita al Dettaglio;Semeraro Casa & Famiglia S.p.a.;Via Pionieri dell'Aria ,;33080;ROVEREDO IN PIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9640;46.02 12.61;info@federweb.com;
Serramenti ed Infissi Legno        Arredamenti - Vendita al Dettaglio;Serramenti Ros;Strada per Fratta, /A,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;347-27966;45.94 12.46;info@federweb.com;
Mobili - Vendita al Dettaglio;Sincerotto Arredamenti e Cucine;Via Nazionale, ,;33042;BUTTRIO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6746;46.01 13.32;info@federweb.com;
Sedie e Tavoli - Produzione, Ingrosso        Sedie e Tavoli - Vendita al Dettaglio;Sipa di Chiappo f e p;Via Pacifico Valussi, , Orsaria;33040;PREMARIACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7162;46.0 13.389;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Sisa Snc di Pietro Daffara Alberto Ranza e c;Via Papa Giovanni xiii ,;33040;CORNO DI ROSAZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7590;45.99 13.45;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Sistemarredi di Anna Cavezzali;Via Cividale ,;33084;CORDENONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-2414;45.9 12.68;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Snaidero Federico;Via del Cristo /,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7542;45.9 13.36;info@federweb.com;
Mobili - Vendita al Dettaglio;Soler Emilio;Via Cavour ,;33097;SPILIMBERGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-20;46.11 12.89;info@federweb.com;
Mobili - Produzione, Ingrosso        Mobili - Vendita al Dettaglio;Spaccio Mobili;Via Udine ,;34072;GRADISCA D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9613;45.88 13.48;info@federweb.com;
Mobili - Vendita al Dettaglio;Stefani Mobili;Via Nazionale, ,;33020;ENEMONZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-743;46.409 12.881;info@federweb.com;
Mobili - Vendita al Dettaglio;Stolfo Mobili di Stolfo Emiliano;Via Valle ,;33045;NIMIS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7901;46.20 13.26;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Studio 2 Arredamenti & Archimede Arredamenti;Via Tacco Giandomenico ,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;347-27944;45.64 13.7;info@federweb.com;
Arredamenti ed Architettura d'Interni        Arredamenti - Vendita al Dettaglio;Studio a.r.;Via San Francesco D'Assisi, ,;34133;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3705;45.65 13.77;info@federweb.com;
Sedie e Tavoli - Produzione, Ingrosso        Arredamenti - Vendita al Dettaglio;Stylgame S.r.l.;Via Cavalleggeri di Saluzzo ,;33097;SPILIMBERGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-21;46.10 12.87;info@federweb.com;
Mobili - Vendita al Dettaglio;Sunrise Design;Località Santa Croce ,;34151;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;335-75744;45.73 13.69;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Taglialegne Silvano;Viale s. Daniele ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5466;46.07 13.23;info@federweb.com;
Mobili - Vendita al Dettaglio;Tango S.r.l.;Via Battisti Cesare ,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-34199;45.65 13.77;info@federweb.com;
Arredamento Negozi e Supermercati        Arredamenti - Vendita al Dettaglio;Teckna Interni;Via Melarolo, /B,;33050;TRIVIGNANO UDINESE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9996;45.94 13.34;info@federweb.com;
Mobili - Vendita al Dettaglio;Tecnosedia 1970 S.r.l.;Via dell'Industria ,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7466;45.95 13.40;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Todaro Dina & c. Snc;Via iv Novembre ,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7546;45.98 13.37;info@federweb.com;
Arredamenti - Produzione e Ingrosso;Tomasella Industria Mobili;Via Ungaresca, ,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6230;45.9 12.5;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Tonello Arredamenti S.n.c.;Via  Ottobre , Basagliapenta;33031;BASILIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-08307;45.99 13.0;info@federweb.com;
Mobili - Vendita al Dettaglio;Tonello Arredamenti;Via Cosattini Giovanni ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5041;46.06 13.2;info@federweb.com;
Mobili - Vendita al Dettaglio;Tonello Casa;Via Giovanni Cosattini ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5041;46.06 13.2;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Tornibel Srl;Via dei Prati ,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7502;46.02 13.39;info@federweb.com;
Mobili - Vendita al Dettaglio;Torresin Angelmino;Via m. Ciotti ,;33086;MONTEREALE VALCELLINA ;(PN) ;    FRIULI VENEZIA GIULIA;0427-7986;46.15 12.6;info@federweb.com;
Mobili Componibili        Arredamenti - Vendita al Dettaglio;Toscana Mobili;Via Aquileia, ,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-910;45.8 13.4;info@federweb.com;
Mobili - Vendita al Dettaglio;Transoceanic Export Srl;Via Croce Benedetto ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2990;46.05 13.24;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Tre ti Arredamenti;Via Dante Alighieri , Cavalicco;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5729;46.10 13.22;info@federweb.com;
Sedie e Tavoli - Produzione e Ingrosso;Universal e c. Srl;Via Lino Zanussi, ,;33050;PAVIA DI UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6762;45.98 13.31;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Urban Area Srl;Via Nazionale ,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5488;46.09 13.23;info@federweb.com;
